---config@码表分类=主码-4
---config@码表别名= 增补字
此列	cilp
此话	cihx
此行	cihh
蹭吃蹭喝	cich
摧城拔寨	cibv
慈航普度	chpd
挫骨扬灰	cgyh
蹭吃	cgii
蹭车	cgie
此风不可长	cfbi
此地无银	cdmy
菜品	cdpb
菜农	cdns
财迷	cdmi
惨淡经营	cdjy
从刀尖上爬过来的	cdjd
彩灯	cddg
漕运	ccyy
草草收尾	ccuw
残次品	ccpb
擦擦汗	cchj
层层叠叠	ccdd
才不至于	cbvy
草本植物	cbvw
藏不住	cbvu
寸步难移	cbny
擦药	cayc
擦鞋	caxp
擦手	cauz
擦脸	calm
擦脚	cajn
拆东墙，补西墙	cdqq
差钱	ciqm
伺机而动	cjed
都在玩	dzwj
地藏王	dcwh
打嘴仗	dzvh
弟子服其劳	dzfl
多嘴多舌	dzdu
得益于	dyyu
大音希声	dyxu
多一些	dyso
第一桶金	dytj
大雨瓢泼	dypp
单眼皮	dypi
东一榔头西一棒子	dylz
等于零	dylk
钝化	dyhx
单引号	dyhc
第一反应	dyfy
大象无形	dxmx
打小算盘	dxsp
掉下去	dxqu
刀削面	dxmm
大限将至	dxjv
大雪纷飞	dxff
东向而望，不见西墙	dxeq
对外贸易	dwmy
当我没说	dwmu
敌我矛盾	dwmd
对外开放	dwkf
跌无可跌	dmkd
党中央	dvyh
地主之谊	dvvy
大致说来	dvul
大战三百回合	dvsg
打着灯笼找不着	dvdv
低声细语	duxy
堵心	duxb
董事长	duih
大书特书	dutu
肚痛	duts
打蛇随棍上	dusu
读书破万卷	dupj
渡劫	dujp
大事化小，小事化了	duhl
大使馆	dugr
肚兜	dudz
对事不对人	dubr
独特性	dtxk
打听打听	dtdt
爹死娘嫁人，各人顾各人	dsnr
抖擞精神	dsju
东段	dsdr
单丝不成线	dsbx
淡若清风	drqf
端木	drmu
打入冷宫	drlg
端人家碗，受人家管	drjg
单人床	dril
大人不记小人过	drbg
东瞧西看	dqxk
刀枪入库	dqrk
冬去春来	dqil
得便宜卖乖	dbyg
东跑西颠	dpxd
大排档	dpdh
冬暖夏凉	dnxl
吊索	dnso
东南风	dnfg
大难不死，必有后福	dnbf
电箱	dmxl
多面手	dmuz
当面是人，背后是鬼	dmug
大忙人	dmrf
垫圈	dmjr
颠沛	dmpw
点开	dmkd
打马虎眼	dmhy
电柜	dmgv
电工	dmgs
当面鼓对面锣	dmgl
独门独户	dmdh
点错	dmco
砥砺前行	dlqh
打了鸡血	dljx
大路朝天，各走一边	dlib
定了定神	dldu
得来不易	dlby
盯死	dksi
顶楼	dklz
顶灯	dkdg
定睛一看	djyk
待机时间	djuj
渡尽劫波兄弟在	djjz
堆金积玉	djjy
断简残编	djcb
滴酒不沾	djbv
单边	djbm
低效	dixn
地势	deui
底气	diqi
倒插门	dimf
低端	didr
东海扬尘	dhyi
导火线	dhxm
档期	dhji
动画片	dhpm
灯箱	dgxl
达官显贵	dgxg
电光石火	dgdh
顶个屁用	dgpy
倒挂金钟	dgjv
倒挂金钩	dgjg
刀耕火种	dghi
打狗还得看主人	dghr
等边	dgbm
顶风作案	dfza
大方无隅	dfmy
挡风遮雨	dfvy
豆腐渣工程	dfvi
大发善心	dfux
打发时间	dfuj
大富大贵	dfdg
等而下之	dexv
大而无当	demd
当耳旁风	depf
得而复失	defu
兜兜转转	ddvv
大打折扣	dduk
大道至简	ddvj
点点头	ddtz
打打闹闹	ddnn
嘟嘟囔囔	ddnn
弟弟妹妹	ddmm
躲得了初一躲不过十五	ddlw
堵得慌	ddhl
代购	ddgz
点灯熬油	dday
倒叙	dcxu
倒桩	dcvl
打错了算盘	dclp
捯饬	dcii
到付	dcfu
貂不足，狗尾续	dbzx
单兵作战	dbzv
都不一样	dbyy
大白于天下	dbyx
大病一场	dbyi
都不喜欢	dbxh
打不着狐狸惹身骚	dbvs
道不拾遗	dbuy
倒不是	dbui
代表团	dbtr
大白天说梦话	dbth
大白若辱	dbrr
大病初愈	dbiy
对比度	dbdo
断编残简	dbcj
打坐	dazo
大侠	daxx
大仙	daxm
打完	dawj
大师	daui
大屏	dabk
大佬	dalc
搭车	daie
大号	dahc
鸟用	dnys
鸟样	dnyh
鸟窝	dnwo
鸟兽	dnuz
鸟枪	dnql
鸟粪	dnff
叨陪末座	dpmz
调仓	dnch
提出来	dild
提点	didm
石墨烯	dmxi
石沉大海	didh
追亡逐北	dwvb
追兵	dvbk
恶语相向	eyxx
恩怨是非	eyuf
二选一	exyi
二者必居其一	evby
二者不可得兼	evbj
二十年	eenm
耳听为虚，眼见为实	etwu
二三月份	esyf
饿死胆小的	esdd
耳软心活	erxh
二人世界	eruj
二回	erhv
二笔	erbi
儿女情长，英雄气短	enqd
耳目众多	emvd
二郎腿	eltv
二合一	egyi
二话不说	ehbu
二道贩子	edfz
儿大不由娘	edbn
儿不嫌母丑，狗不嫌家贫	ebxp
二不跨五	ebkw
二八法则	ebfz
二八定律	ebdl
十一二月	eyey
十位数	ewuu
十指连弹	evld
十里不同俗	elbs
十分之一	efvy
复杂性	fzxk
飞扬小鹤	fyxe
腹有诗书气自华	fyuh
敷衍塞责	fysz
佛要金装	fyjv
蜉蝣撼大树	fyhu
风雨不透	fybt
焚香沐浴	fxmy
费心费力	fxfl
风向标	fxbn
芳心暗许	fxax
服务器	fwqi
反误了卿卿性命	fwlm
奉为楷模	fwjm
附赘悬疣	fvxy
负债累累	fvll
放手一搏	fuyb
抚慰	fuww
附着	fuvc
复牌	fupd
赴美	fumw
父老	fulc
复查	fuia
伏虎	fuhu
腹稿	fugc
凡人不可貌相	frbx
富强发达	fjfd
夫妻店	fqdm
放弃吧	fqba
发脾气	fpqi
服你了	fnle
飞鸟尽良弓藏	fdjc
防民之口，甚于防川	fmvi
反面人物	fmrw
负面情绪	fmqx
发霉了	fmle
反面教材	fmjc
放马后炮	fmhb
放马过来	fmgl
发牢骚	flsc
服了你了	flnl
风里来，雨里去	fllq
飞来飞去	flfq
翻脸不认人	flbr
放浪不羁	flbj
氟利昂	flah
佛口蛇心	fkux
防君子不防小人	fjzr
富甲一方	fjyf
福建省	fjug
抚今思昔	fjsx
风景区	fjou
翻盘	fjpj
番邦	fjbh
分久必合	fjbg
非常重要	fiiy
房产证	fivg
风吹日晒	firu
非常感谢	figx
房前	fhqm
防霉	fhmw
繁华落尽	fhlj
放浪	fhlh
防臭	fhiz
方管	fhgr
蜂王	fgwh
富国强兵	fgjb
富贵花开	fghk
风高放火天	fgft
风高放火	fgfh
方方正正	ffvv
分针	ffvf
泛泛之辈	ffvb
发发牢骚	ffls
粉底	ffdi
愤愤不平	ffbp
飞蛾投火	feth
风大雨大	fdyd
风刀霜剑	fduj
妇道人家	fdrj
防毒面具	fdmj
福大命大	fdmd
反编译	fbyi
法兰	falj
发件	fajm
故作姿态	gzzt
狗嘴吐不出象牙	gzty
个子高高	gzgg
苟安	gzan
歌以咏志	gyyv
古已有之	gyyv
工欲善其事，必先利其器	gyuq
过一天算一天	gytt
各有利弊	gylb
狗眼看人低	gykd
各有侧重	gyci
感性认识	gxru
隔靴挠痒	gxny
更新了	gxle
规行矩步	ghjb
关系户	gjhu
挂掉	gxdn
国务卿	gwqk
柜员	gvyr
皈依	gvyi
规章制度	gvvd
根正苗红	gvmh
归集	gvji
归真返璞	gvfp
高枕而卧	gvew
孤身一人	guyr
观世音	guyb
姑息	guxi
盖世太保	gutb
果实累累	gull
骨架	gujx
过山车	guie
故事梗概	gugg
国事访问	gufw
共同市场	gtui
高台跳水	gttu
故土难离	gtnl
国土局	gtju
共识	gsui
甘肃省	gsug
公婆	gspo
贡品	gspb
公粮	gsll
攻克	gske
共处	gsiu
公会	gshv
功过	gsgo
公私分明	gsfm
宫娥	gsee
工段	gsdr
工人阶级	grjj
关东	grds
管材	grcd
苟全性命于乱世	gqxu
攻其无备	gjmb
苟且偷安	gjta
顾盼自雄	gpzx
公平性	gpxk
割袍断义	gpdy
过站	govj
果糖	goth
果盘	gopj
果酒	gojq
国内外	gnwd
姑奶奶	gnnd
敢怒敢言	gngy
广袤无垠	gmmy
革命尚未成功，同志仍需努力	gmul
革命尚未成功	gmug
概莫能外	gmnw
根目录	gmlu
规模化	gmhx
